scene,start,length_s,zone,creature,viewing_mode,baby,tag
1,0:00,2,Cold open,—,title card,N,
2,0:02,3,Cold open,host Luke+gf,selfie POV,N,
3,0:05,1.5,Cold open,Carnotaurus,open-air (chaos),N,
4,0:06,1.5,Cold open,Utahraptor pack,open-air (chaos),N,
5,0:08,1.5,Cold open,Mosasaurus,glass tunnel,N,
6,0:09,1.5,Cold open,Dunkleosteus,behind glass,N,NEW
7,0:11,1.5,Cold open,T-Rex,behind glass,N,
8,0:12,1.5,Cold open,Quetzalcoatlus (picnic raid),open-air (chaos),N,NEW
9,0:14,1.5,Cold open,Indominus (wall breach),open-air (chaos),N,NEW
10,0:15,1.5,Cold open,D-Rex hybrid,open-air (chaos),N,
11,0:17,1.5,Cold open,teens at hybrid door,walking,N,NEW
12,0:18,2,Cold open,T-Rex vs hybrids,open-air (chaos),N,
13,0:20,6.5,Entry,host Luke+gf,selfie POV,N,
14,0:27,6,Entry,—,POV ticket booth,N,
15,0:33,6,Entry,—,walking,N,
16,0:39,5,Entry,— park map,POV park map,N,
17,0:44,6,Carnotaurus,— gate sign,walking / gate,N,
18,0:50,6,Carnotaurus,Carnotaurus (baby),keeper + baby,Y,
19,0:56,6,Carnotaurus,Carnotaurus,behind glass,N,
20,1:02,5,Carnotaurus,Carnotaurus (close at glass),behind glass,N,NEW angle
21,1:07,6,Carnotaurus,Carnotaurus (adult+juv),behind glass,Y,
22,1:13,6,Carnotaurus,Carnotaurus x2 rival display,behind glass,N,
23,1:19,4.5,Carnotaurus,— '?' curiosity sign,walking,N,NEW transition
24,1:23,7,Quetzalcoatlus,— giant statue landmark,landmark,N,NEW landmark
25,1:30,6,Quetzalcoatlus,Quetzalcoatlus (baby),keeper + baby,Y,
26,1:36,5,Quetzalcoatlus,Quetzal chick (flight test),behind glass,Y,NEW baby
27,1:41,6,Quetzalcoatlus,Quetzalcoatlus,glass dome,N,
28,1:47,6,Quetzalcoatlus,Quetzalcoatlus (flight),glass dome,N,
