start	end	text
2326	3667	Hey guys, it's Dee again.
3987	6809	Last time I barely survived the Jurassic Zoo.
7109	12933	This time I snuck back in and saw unrealistic dinosaurs no one has ever seen before.
13253	16955	But one incident happened that shut the whole park down forever.
17316	19317	Stick till the end, you won't believe it.
19857	21058	Hey guys, it's Dee again.
21758	24340	Last time I barely survived the Jurassic Zoo.
25901	26762	Can I get discount?
27722	29223	No, it's same for everyone.
30264	31505	Sad, but okay.
32538	33679	There's quite a crowd today.
34820	36821	Looks like they're here to see something special.
38482	39102	Are they mad?
39282	40843	They put all the dangerous ones together?
41344	41984	What's in that?
42905	48588	Carnotaurus used its horns to fight other carnotaurus for territory and maintenance.
48829	53852	Honestly, other large carnivores were the biggest threat to baby carnotaurus.
55705	58226	Who was the actual rival of Carnotaurus?
58726	60587	I'll let the audience answer that one.
60607	67689	Fun fact, Carnotaurus had some of the smallest arms compared to its body size of any large theropod dinosaur.
67869	68310	See that?
68970	70810	She's probably a better mother than yours.
73912	77773	Carnotaurus usually lived alone and could reach about 25 years of age.
80574	81734	What an interesting question.
82035	82975	Audience should answer this.
90348	91648	Please keep safe distance.
92188	95209	Spinosaurus can react quickly to movement near the enclosure.
96469	102010	Some scientists think young spinosaurus may have spent more time on land than adults, but this is still debated.
102550	106191	Its possible rival was carcordontosaurus, but what do you think?
108371	114412	Spinosaurus mainly ate fish, occasionally crocodiles and small dinosaurs, and likely consumed around 70 to 150 kilograms of food per day.
119383	123285	Young spinosaurus likely stayed under their mother's protection for several years.
127968	130150	Who knows, maybe they left a mosasaurus in there.
132851	136814	Movies made therosinosaurus look like a pure predator, but it was probably mostly herbivorous.
137514	142217	Honestly, some scientists think baby therosinosaurus were meaner than the adults.
144909	146569	Those claws look terrifying.
147270	148750	And it's still mostly eight plants.
149110	152791	Tarbasaurus was probably one of its biggest rivals.
156992	157913	That's huge.
158413	159733	I still huge.
159793	161374	No, it was a dinosaur picture.
161394	163034	Look at the wingspan.
164915	168816	Did you know baby Quetzalcatlus can start flying just minutes after hatching?
169196	169756	No way.
176981	182884	One of Quetzalcoatlis' biggest rivals was Hatsagopterics, another giant tyrosaur that lived during the late Cretaceous period.
183164	187967	Scientists estimate Quetzalcoatlis may have lived around 20 to 30 years on average.
195180	201086	Velociraptors likely hatched covered in feathers, making them look more like young birds than the scaly dinosaurs.
201286	204669	A likely rival of Velociraptor was protoceratops.
205430	211115	Fossils have even been discovered showing a Velociraptor and protoceratops locked together during a fight.
211216	213238	Can I give them some chicken nuggets?
214379	215920	I don't think the zoo allows that.
217201	218543	They probably want the whole bucket.
228031	230473	Finally, an enclosure of peaceful dinos.
233316	239201	Interesting fact, an Argentinosaurus may have needed roughly 100 to 150 kilograms of vegetation every day to support its enormous size.
241142	243204	Brachiosaurus had no long-term relationships.
243544	245186	Mating was brief and seasonal only.
248669	252132	Ankylosaurus probably spent a lot of time resting.
254644	256666	Diplodocus was the friend of Stegosaurus.
257046	259788	They lived together peacefully, eating plant side by side.
262431	263371	Can I ride this one?
266794	272419	Most people don't know sauripods probably swallowed rocks called gastrolis to help grind food inside their stomachs.
280526	282588	Maybe there's Mosasaurus feeding time.
286659	287199	This way, ma'am.
290940	296042	Mosasaurus likely spent much of its time cruising slowly through ancient oceans.
302503	305544	I wonder what killed the Mosasaurus more than anything else.
307705	312046	Plesiosaurus used all four flippers to swim, almost like underwater flying.
318485	324029	Mosasaurus had a second set of teeth on the roof of its mouth that helped pull prey deeper into its throat.
324449	327171	Do you think these two could actually live together?
333275	335297	That thing is even bigger than I expected.
345300	346001	Nice packaging.
349844	351265	Can we pet any dinosaurs?
355988	358670	Was T-Rex really the king of dinosaurs?
361012	365276	Some scientists think triceratops may have been one of T-Rex's toughest rivals.
365516	369559	A T-Rex tooth could reach over 30 centimeters long, including the root.
384490	388832	Tyrannosaurus rex had one of the strongest bite forces of any known land animal.
395694	396915	I'm afraid to go in there.
399836	403017	Indomnis rex are more intelligent than many humans.
406582	411744	If Indominus Rex had camouflage abilities, sudden fast attacks from cover would effective than chasing prey over long distance.
411764	412605	Here's a debated theory.
412725	417727	Camouflage may have been one of the most powerful advantages an Indominus Rex could have had, possibly even more important than its size.
423829	424209	Do you know?
424709	430952	Before Indominus Rex, the Jurassic World team originally planned the main hybrid as Diabolus Rex, or D-Rex in early scripts.
431272	432973	They later changed it to Indominus Rex.
434808	438549	I don't know why I'm here, whether to enjoy this or suffer through it.
440810	442851	People think he's a monster, but is he?
466013	466554	Attention!
467014	468916	Evacuate immediately!
468996	469516	Attention!
469616	473519	Evacuate immediately!
473559	473960	Attention!
474000	474941	Evacuate immediately!
475121	475541	Attention!
475581	476682	Evacuate immediately!
486290	487131	Go, go, go!
487691	488172	It's coming!
488192	489113	Get down!
