channel	dur	id	rank	set	subs	title	upload	views	affiliate	age_days	categories	chapters	comment_per_10k	comments	cta	desc_head	desc_len	fps	h	has_subs	hashtags	lang	like_rate_pct	likes	links	m_cuts	m_cuts_first10s	m_cuts_on_onset_pct	m_cuts_on_word_pct	m_cuts_per_min	m_dur	m_first_cut	m_first_word	m_fps	m_grid_step	m_h	m_harm_over_perc	m_longest_hold	m_max_pause	m_median_cut_to_word	m_median_shot	m_onsets	m_onsets_per_min	m_pct_shots_under2s	m_silent_pct	m_talk_pct	m_w	m_words	m_wpm	n_tags	recipe_in_desc	socials	tags	url	views_per_day	w
Casual Cooking	41	26p-npt4fTI	1	long	264000	Baking a tub of cookie dough like this..	20251024	10347866	True	299	Science & Technology	0	9.7	10000	True	This is what happens when you bake cookie dough like this. ⏎  ⏎ If you'd like to support the channel.. ⏎  ⏎ My Amazon affiliate link: ⏎ https://amzn.to/48xymnV ⏎  ⏎ -------------------------- ⏎ The above are affiliate links, which means, at no extra cost to you, I'll receive a small commission for purchases through those links. This helps support the channel, thank you. ⏎  ⏎ *Casual Cooking’s content is for entertain	893	30.0	720	False	0		2.77	286485	1	5	2	0		7.3	41.1	1.1		30.0	1.0	720	2.1	18.0	41.1		5.63	9	13.1	17	1	0	1280	0		2	True	False	cookie dough | cookies	https://www.youtube.com/watch?v=26p-npt4fTI	34608	1280
Casual Cooking	40	HfNhp_YHNxE	2	long	264000	Entire tub of cookie dough baked in a bread pan..	20251027	1671129	True	296	Science & Technology	0	6.0	1000	True	This is what happens when you bake cookie dough in a bread pan.  ⏎  ⏎ If you'd like to support the channel.. ⏎  ⏎ My Amazon affiliate link: ⏎ https://amzn.to/48xymnV ⏎  ⏎ -------------------------- ⏎ The above are affiliate links, which means, at no extra cost to you, I'll receive a small commission for purchases through those links. This helps support the channel, thank you. ⏎  ⏎ *Casual Cooking’s content is for ent	899	30.0	720	False	0		2.89	48295	1	7	2	14		10.5	40.0	1.93		30.0	1.0	720	2.09	13.6	40.0		2.87	5	7.5	25	1	0	1280	0		2	True	False	cookie dough | cookies	https://www.youtube.com/watch?v=HfNhp_YHNxE	5646	1280
Joshua Weissman Recipes 	550	ZLULwy2cXVE	3	long	856000	The Best Chocolate Chip Cookies Ever	20251222	1331116	False	240	Howto & Style	0	8.3	1100	True	My best homemade cookie recipe of all time. ⏎  ⏎ Recipe: https://www.joshuaweissman.com/recipes/the-best-chocolate-chips-cookies-recipe-ever ⏎  ⏎ Get My Cookbook: https://bit.ly/TextureOverTaste ⏎  ⏎ Additional Cookbook Options (other stores, international, etc.): https://bit.ly/WeissmanCookbook ⏎  ⏎ FOLLOW ME: ⏎ Instagram: https://www.instagram.com/joshuaweissman ⏎ Tik Tok: https://www.tiktok.com/@flakeysalt ⏎ Twitter	490	30.0	720	False	0	en-US	3.03	40368	7	106	1	0	93	11.6	549.5	5.8	0.29	29.97	3.0	720	0.83	20.6	15.6	0.13	3.4	1	0.1	24	8	90	1280	1830	223	21	True	True	joshua weissman | sat bawl pro | best chocolate chip cookies | chocolate chip cookies | best cookies ever | ultimate chocolate chip cookies | homemade chocolate chip cookies | easy cookie recipe | bakery style cookies | soft and chewy cookies | crispy edge chewy center cookies | perfect chocolate chip cookies	https://www.youtube.com/watch?v=ZLULwy2cXVE	5546	1280
Casual Cooking	52	AFBr-AnTtXE	4	long	264000	What if.. You bake Pillsbury Cookie Dough like this..	20250916	1230646	True	337	Science & Technology	0	11.4	1400	True	This is what happens when you bake Pillsbury Cookie Dough like this.  ⏎  ⏎ My Amazon affiliate link: https://amzn.to/3lU5L3i ⏎ My camera (Amazon affiliate link): https://amzn.to/3LgCklx ⏎ My lens (Amazon affiliate link): https://amzn.to/3wsppaL ⏎  ⏎ -------------------------- ⏎ The above are affiliate links, which means, at no extra cost to you, I'll receive a small commission for purchases through those links.	980	30.0	720	False	0		2.62	32190	3	4	1	0		4.6	51.9	4.44		29.97	1.0	720	2.51	17.9	51.9		12.3	9	10.4	0	1	0	1280	0		3	True	False	pillsbury cookie dough | pillsbury cookies | pillsbury	https://www.youtube.com/watch?v=AFBr-AnTtXE	3652	1280
Casual Cooking	42	DXoLCKDcwbk	5	long	264000	Baking a tub of cookie dough in a cake pan..	20251026	699957	True	297	Science & Technology	0	10.1	706	True	This is what happens when you bake cookie dough in a cake pan.  ⏎  ⏎ If you'd like to support the channel.. ⏎  ⏎ My Amazon affiliate link: ⏎ https://amzn.to/48xymnV ⏎  ⏎ -------------------------- ⏎ The above are affiliate links, which means, at no extra cost to you, I'll receive a small commission for purchases through those links. This helps support the channel, thank you. ⏎  ⏎ *Casual Cooking’s content is for ente	898	30.0	720	False	0		2.8	19597	1	7	0	0		10.0	42.0	10.23		30.0	1.0	720	1.98	13.1	42.0		2.31	6	8.6	50	0	0	1280	0		2	True	False	cookie dough | cookies	https://www.youtube.com/watch?v=DXoLCKDcwbk	2357	1280
Lilac's kitchen 	222	PLIOTjj_gmY	6	long	86100	وصفة كوكيز لشخص واحد (لذيذذة ) Chuncky single serve chocolate chip cookie (DELICIOUS)	20251128	656928	False	264	People & Blogs	0	14.6	962	False	Thanks for watching ⏎  ⏎ Single serve cookie:  ⏎ - 27g butter  ⏎ - 20g white sugar  ⏎ - 30g brown sugar  ⏎ - 1 egg yolk  ⏎ - 1/4 tsp vanilla  ⏎ - Pinch of salt  ⏎ - 45g flour  ⏎ - 1/4 tsp baking soda  ⏎ - 90g chocolate chips  ⏎  ⏎ كوكيز لشخص واحد:  ⏎  - 27 جرام زبدة  ⏎ - 20 جرام سكر أبيض  ⏎ - 30 جرام سكر بني  ⏎ - صفار بيضة واحدة ⏎  - 1/4 ملعقة صغيرة فانيليا ⏎  - رشة ملح  ⏎ - 45 جرام دقيق ⏎  - 1/4 ملعقة صغيرة بكينج صودا  ⏎  - 90 جرام رقائق ا	409	30.0	720	False	0		5.61	36856	0	0	0			0.0	222.0			30.0	2.0	720	1.96	222.0	222.0		221.98	2	0.5	0	2	0	1280	0		0	True	False		https://www.youtube.com/watch?v=PLIOTjj_gmY	2488	1280
a little calm	410	1gcLatHJa8o	7	long	374000	Chewy Chocolate Chip Cookies ♡ Bake With Me	20250917	565838	False	336	People & Blogs	0	7.4	421	True	Hi everyone ♥️ I finally got around to making a full batch of my single serve chocolate chip cookie :) I hope you guys like it! And they're still eggless :) ⏎  ⏎ This recipe makes 6 large cookies (4 tbsp each) or 12 regular sized cookies (2 tbsp each) ⏎  ⏎ *Chocolate Chip Cookies* ⏎ 3/4 cup (170g) melted butter (salted or unsalted) ⏎ 3/4 cup (150g) light brown sugar  ⏎ 1/3 cup (65g) granulated sugar ⏎ 1 and 1/2 t	1171	30.0	720	False	0		3.43	19400	0	47	2	9		6.9	410.3	5.74		29.97	3.0	720	1.82	71.2	410.3		3.6	11	1.6	8	11	0	1280	0		0	True	False		https://www.youtube.com/watch?v=1gcLatHJa8o	1684	1280
Preppy Kitchen	512	qK-ZOlrv2BM	8	long	6180000	Chewy Oatmeal Chocolate Chip Cookies Recipe	20251007	331522	True	316	Howto & Style	0	7.5	250	True	These delicious oatmeal chocolate chip cookies have JUST the right combination of crisp on the outside, chewy on the inside amazingness and of course big notes of chocolate, butter, and just the right hit of salt. I LOVE the textrure you can only get from using oats. It makes the cookies so much heartier and I find the toothiness really enjoyable. Add your favorite mix ins like toasted walnuts or 	948	24.0	676	False	0		2.38	7882	6	109	3	0	67	12.8	511.7	3.54	0.13	24.0	3.0	676	0.66	19.9	11.5	0.23	3.48	1	0.1	23	13	69	1280	1272	216	18	False	False	Preppy kitchen | John kanell | cookies | oatmeal chocolate chip cookies | easy oatmeal cookies | chocolate chip cookies | oatmeal cookie recipe | oatmeal cookies | cookie recipe | soft oatmeal chocolate chip cookies | easy oatmeal chocolate chip cookies | chewy oatmeal chocolate chip cookies	https://www.youtube.com/watch?v=qK-ZOlrv2BM	1049	1280
Pinch Of Warmth	300	f4My3oGalqo	9	long	42500	NYC Style Chocolate Chip Cookies From 1 Dough ♡ Bake With Me	20260123	220210	False	208	Howto & Style	0	20.3	448	False	Thick, soft, chunky NYC style cookies in three flavours — all made from one dough and baked to gooey perfection.  ⏎ INGREDIENTS ⏎ BASE DOUGH ⏎  ⏎ • 1¼ cups (285 g) softened unsalted butter ⏎ • ½ cup (110 g) brown sugar ⏎ • ¾ cup (150 g) granulated sugar ⏎ • 3 large eggs (150 g without shells) ⏎ • 3 teaspoons vanilla extract ⏎ • 3½ cups (420 g) all‑purpose flour ⏎ • ½ teaspoon (3 g) salt ⏎ • 2 teaspoons (8 g) baking pow	2250	30.0	720	False	13		3.38	7451	0	1	1	0		0.2	300.0	2.57		30.0	3.0	720	0.47	297.4	300.0		149.98	1	0.2	0	94	0	1280	0		6	True	False	How to make chocolate chip cookies | How to make NYC style cookies | How to make levain cookies | How to make big cookies | How to make red velvet cookies | How to make double chocolate chip cookies	https://www.youtube.com/watch?v=f4My3oGalqo	1059	1280
Savor Easy	143	3OHIS5IoRtA	10	long	1310000	Viral Mini Chocolate Chip Cookie - No Chill	20260116	195708	False	215	Howto & Style	0	4.9	96	False	How to make Mini Chocolate Chip Cookie. ⏎  ⏎ Here's what you'll need: ⏎ 1/2 cup brown sugar (100g) ⏎ 1/2 cup granulated sugar (100g) ⏎ 1/2 cup brown butter (125ml) salted ⏎ 1 large egg ⏎ 1 tsp vanilla extract (5ml) ⏎ 1.5 cups flour (190g) ⏎ 1/2 tsp baking powder ⏎ 1/2 tsp baking soda ⏎ a pinch of salt ⏎ 1 cup mini chocolate chips ⏎  ⏎ 1. Preheat oven at 175C or 350F. Cook butter over medium heat until golden brown, about 5 t	1163	50.0	720	False	0		2.2	4303	0	0	0			0.0	142.8			50.0	2.0	720	1.3	142.8	142.8		142.78	6	2.5	0	0	0	1280	0		4	True	False	chocolate chip cookie | mini chocolate chip cookie | chocolate chip cookie minis | savor easy	https://www.youtube.com/watch?v=3OHIS5IoRtA	910	1280
