id	w	h	fps	dur	cuts	cuts_per_min	median_shot	first_cut	cuts_first10s	pct_shots_under2s	longest_hold	words	talk_pct	wpm	first_word	max_pause	cuts_on_word_pct	median_cut_to_word	onsets	onsets_per_min	cuts_on_onset_pct	silent_pct	harm_over_perc	grid_step
1gcLatHJa8o	1280	720	29.97	410.3	47	6.9	3.6	5.74	2	8	71.2	0	0			410.3			11	1.6	9	11	1.82	3.0
26p-npt4fTI	1280	720	30.0	41.1	5	7.3	5.63	1.1	2	17	18.0	0	0			41.1			9	13.1	0	1	2.1	1.0
3OHIS5IoRtA	1280	720	50.0	142.8	0	0.0	142.78		0	0	142.8	0	0			142.8			6	2.5		0	1.3	2.0
8909Nv2EqhQ	1280	720	30.0	269.9	4	0.9	46.27	47.5	0	20	138.3	2	0		238.79	238.8	0	41.03	7	1.6	0	91	0.28	3.0
AFBr-AnTtXE	1280	720	29.97	51.9	4	4.6	12.3	4.44	1	0	17.9	0	0			51.9			9	10.4	0	1	2.51	1.0
DXoLCKDcwbk	1280	720	30.0	42.0	7	10.0	2.31	10.23	0	50	13.1	0	0			42.0			6	8.6	0	0	1.98	1.0
DzV36K1H7RY	1280	720	23.98	15.1	4	15.9	2.81	1.83	3	40	5.0	27	71	151	0.17	2.3	75	0.26	1	4.0	0	3	0.51	1.0
HfNhp_YHNxE	1280	720	30.0	40.0	7	10.5	2.87	1.93	2	25	13.6	0	0			40.0			5	7.5	14	1	2.09	1.0
PLIOTjj_gmY	1280	720	30.0	222.0	0	0.0	221.98		0	0	222.0	0	0			222.0			2	0.5		2	1.96	2.0
XQvB5w_cHHA	1280	720	24.0	32.5	7	12.9	3.65	3.67	3	25	9.0	0	0			32.5			10	18.5	0	2	3.04	1.0
ZLULwy2cXVE	1280	720	29.97	549.5	106	11.6	3.4	5.8	1	24	20.6	1830	90	223	0.29	15.6	93	0.13	1	0.1	0	8	0.83	3.0
f4My3oGalqo	1280	720	30.0	300.0	1	0.2	149.98	2.57	1	0	297.4	0	0			300.0			1	0.2	0	94	0.47	3.0
kS_Clm3FA7o	1280	720	60.0	306.7	59	11.5	3.53	8.48	1	27	25.3	0	0			306.7			4	0.8	0	70	0.53	3.0
qK-ZOlrv2BM	1280	676	24.0	511.7	109	12.8	3.48	3.54	3	23	19.9	1272	69	216	0.13	11.5	67	0.23	1	0.1	0	13	0.66	3.0
vYA2RDDWfOg	1280	720	25.0	15.1	2	8.0	3.44	3.44	2	33	10.4	5	20		10.28	10.3	0	6.22	4	15.9	0	6	1.91	1.0
