id	w	h	fps	dur	cuts	cuts_per_min	median_shot	first_cut	cuts_first10s	pct_shots_under2s	longest_hold	words	talk_pct	wpm	first_word	max_pause	cuts_on_word_pct	median_cut_to_word	onsets	onsets_per_min	cuts_on_onset_pct	silent_pct	harm_over_perc	grid_step
-02rCdlWQwA	720	1280	30.0	13.2	0	0.0	13.24		0	0	13.2	48	82	265	0.19	0.7			4	18.1		7	0.75	1.0
0uu4E3SaMz4	720	1280	30.0	51.5	10	11.6	4.77	6.87	1	36	10.9	0	0			51.5			6	7.0	10	4	0.95	1.0
6elCoGd6g8w	720	1280	29.97	33.5	7	12.5	2.81	2.0	2	12	13.2	145	99	263	0.05	0.4	100	0.08	1	1.8	0	0	0.86	1.0
9t3tFhoOOps	720	1280	23.98	79.3	19	14.4	2.98	12.22	0	40	12.8	293	100	222	0.05	0.2	100	0.05	2	1.5	0	0	1.19	1.0
Bnfz-vJg1AI	720	1280	30.0	39.2	7	10.7	3.85	5.33	2	25	12.9	139	90	236	0.27	1.7	100	0.04	1	1.5	0	1	1.28	1.0
E5t1qq6u0hI	720	1280	30.0	72.6	12	9.9	5.0	3.67	2	15	14.5	0	0			72.6			3	2.5	8	73	0.35	1.0
K5XJOJQ_z9E	720	1280	30.0	179.4	36	12.0	2.27	0.1	4	41	35.8	643	76	282	0.05	18.7	75	0.09	6	2.0	6	1	2.94	2.0
KPrr6x8lwJM	718	1280	30.0	29.8	5	10.1	3.04	4.3	3	33	16.5	128	100	259	0.11	0.1	100	0.04	2	4.0	0	2	0.82	1.0
NbAaf79K4f4	720	1280	30.0	29.4	5	10.2	5.12	5.3	1	17	7.2	25	14		0.19	25.0	0	10.25	2	4.1	0	5	0.91	1.0
S--5x7WFE2E	720	1280	60.0	60.0	13	13.0	3.08	1.53	1	50	13.0	217	61	356	0.21	19.5	62	0.1	11	11.0	0	1	2.05	1.0
T41Oe_H4VCA	720	1280	29.95	61.1	17	16.7	1.57	1.87	2	56	11.7	0	0			61.1			7	6.9	6	53	0.56	1.0
TlryZMc6nmw	720	1280	30.0	38.2	5	7.9	4.63	1.87	1	33	18.0	114	75	238	0.07	8.1	80	0.09	1	1.6	0	1	1.32	1.0
VHutIcveQDQ	720	1280	29.97	65.5	18	16.5	2.23	7.37	2	47	11.7	0	0			65.5			9	8.2	6	31	1.07	1.0
W5GSWMin8Fw	720	1280	29.97	82.1	15	11.0	2.77	5.97	3	44	14.0	4	1		17.06	45.6	0	10.09	11	8.0	7	1	4.35	1.0
eNzWAWN2hsM	720	1280	30.0	15.6	2	7.7	1.83	11.97	0	67	12.0	0	0			15.6			1	3.8	0	3	0.8	1.0
hUCchS2Rs9Y	720	1280	60.0	34.4	5	8.7	5.35	2.9	2	33	12.6	18	25	128	0.28	24.5	40	5.59	3	5.2	20	1	2.12	1.0
hv5qFlTJ6Fs	720	1280	30.0	120.1	21	10.5	5.12	1.93	5	36	16.9	396	89	223	1.98	4.0	95	0.06	5	2.5	0	1	1.11	2.0
n4_v0hhO4JA	720	1280	30.0	70.4	12	10.2	5.13	6.0	1	15	13.1	260	91	242	0.13	3.2	92	0.09	2	1.7	0	1	1.09	1.0
obKCe-OP3rQ	720	1280	30.0	25.6	3	7.0	3.46	17.33	0	50	17.3	0	0			25.6			2	4.7	0	2	1.75	1.0
u2XhUfvMC7E	720	1280	60.0	23.3	5	12.9	3.31	1.23	2	17	6.8	20	26	200	0.7	2.3	40	0.48	5	12.9	20	2	1.87	1.0
