rank	id	views	dur_s	upload	w	h	subs	channel	title
1	vYA2RDDWfOg	13931018	15	20251231	1920	1080	6650	Piper's Gold	Decadent Molten Chocolate Chip.
2	26p-npt4fTI	10347562	41	20251024	1920	1080	264000	Casual Cooking	Baking a tub of cookie dough like this..
3	XQvB5w_cHHA	3794030	32	20251103	1280	720	3180000	Crumbl	Martha Stewart's Chocolate Chip Cookie Thins, Mile-High Lemon Pie, & More! | Crumbl
4	DzV36K1H7RY	2213194	15	20251001	1920	1080	43800	Nestlé Toll House	Nothings better than the original Chocolate Chip Cookies! Peyton Manning x Nestle Toll House
5	ECqc9z6r7jc	2018325	15	20251001	1920	1080	43800	Nestlé Toll House	Nestle Toll House Chocolate Chip Cookies are the way to go! Take it from Peyton Manning🍪
6	HfNhp_YHNxE	1671114	40	20251027	1920	1080	264000	Casual Cooking	Entire tub of cookie dough baked in a bread pan..
7	ZLULwy2cXVE	1331098	550	20251222	3840	2160	856000	Joshua Weissman Recipes 	The Best Chocolate Chip Cookies Ever
8	AFBr-AnTtXE	1230604	52	20250916	1920	1080	264000	Casual Cooking	What if.. You bake Pillsbury Cookie Dough like this..
9	wQjb1ZPohJ0	1176270	572	20251222	3840	2160	3510000	Aejeong Mukbang	두바이쫀득쿠키는 사드세요..직접만든 두바이쫀득쿠키 먹방🍫Dubai Chewy Cookies Mukbang ASMR
10	T6ChmG9Ak3o	977564	326	20260606	1920	1080	768000	haeryn	NGIDE BIKIN CHEWY COOKIE BAHAN SEADANYA || Haeryn & Haechie (DramaAvatarWorld)
11	dJpbFmXHRJQ	790273	239	20260213	1920	1080	222000	The Simple Way with Delilah	3-Ingredient Peanut Butter Oatmeal Cookies | Soft, Simple & So Good
12	nNh6PhmaQy8	774641	487	20260527	1920	1080	16500	Cookie Kitchen Tv	New Style Tiramisu Cookie Recipe | Summer Recipe
13	DXoLCKDcwbk	699926	42	20251026	1920	1080	264000	Casual Cooking	Baking a tub of cookie dough in a cake pan..
14	MHTLohTMb6I	660423	280	20251112	2560	1440	20500	Cookie Corner	I can't stop making these Italian Cookies - Too Easy and Too Good
15	PLIOTjj_gmY	656911	222	20251128	1920	1080	86100	Lilac's kitchen 	وصفة كوكيز لشخص واحد (لذيذذة ) Chuncky single serve chocolate chip cookie (DELICIOUS)
16	mc5UgP3JxB8	599290	294	20251001	1280	720	1460000	Friends	Phoebe's Secret Cookie Recipe | Friends
17	1gcLatHJa8o	565811	410	20250917	3840	2160	374000	a little calm	Chewy Chocolate Chip Cookies ♡ Bake With Me
18	HBDsQVzA4ak	470736	515	20250913	1920	1080	76200	COCO-NAHD by Dhan Tandel	✨Cookies in 10 minutes, Melt in your Mouth, You'll Make Them Everyday!
19	7zm37vOLdvM	470504	259	20260514	1600	1200	125000	Skunx Studios	It's me, it's Omeletteman's Cookie Tutorial!
20	-1glmnhygBo	444386	30	20251001	1920	1080	43800	Nestlé Toll House	Peyton Manning knows the Nestle Toll House Chocolate Chip Cookie Magic 🍪Get Yours Today!
21	TroS7UUDvCw	431368	395	20260210	3840	2026	6180000	Preppy Kitchen	Easy No Bake Cookies Recipe
22	WBV9bgwMvK8	342266	292	20260618	1920	1080	21100	Sweet Country Cooking In Michigan	3-Ingredient Cookies That Taste Exactly Like Brownies! (No Flour)
23	1yl42ZuKJrs	341966	425	20260719	1920	1080	106000	Small Town Southern Wife	3 Ingredient Cookies-Little Round Brownies
24	I6FjixsH10Y	336872	292	20251130	1920	1080	20000	Mamagourmand	Best Italian Almond Cookies Recipe | Soft, Chewy & Flourless
25	qK-ZOlrv2BM	331456	512	20251007	3840	2026	6180000	Preppy Kitchen	Chewy Oatmeal Chocolate Chip Cookies Recipe
26	zPJdKPGhho4	314697	156	20251207	1920	1080	177000	Chef Ananya Tulshyan	I Tried the Viral Cookie Tin Trend... Eggless Version! 🍪
27	DsFQJJ7Haj8	250581	458	20251127	3840	2026	6180000	Preppy Kitchen	Easy Cake Mix Cookies Recipe
28	8909Nv2EqhQ	244895	270	20260422	1920	1080	42500	Pinch Of Warmth	I Made the Thickest Brown Butter Cookies Ever ♡ Bake With Me
29	eZexrLnENlQ	235203	513	20251004	1920	1080	2040000	Nuriku ASMR	ASMR MILO CEREAL BALLS, KOKO KRUNCH COOKIE, NESTLE TRIX, SIMBA CHOCO CHIPS SEREAL COKELAT 🥣
30	lZ7hCwRfOYU	228509	33	20260223	3840	2160	3180000	Crumbl	Yellow Sheet Cake, Lemon Glaze Cookie, & More! | Crumbl
31	syMSrbKS8Iw	227315	180	20260120	3840	2160	139000	easy cooking with das	Bakery Style Atta Cookies | 100% Wheat Eggless Biscuits | Crispy Tea Time Cookies
32	jfOjHGlvWYM	227219	35	20260302	3840	2160	3180000	Crumbl	Cinnamon Square, Galaxy Brownie Cookie, & More! | Crumbl
33	RD1Ax9C_IrM	225350	359	20260518	3840	2160	51300	Ba Boo TV	Buying American Cookies and Chocolate ASMR 🍪🍫 Huge Snack Collection
34	f4My3oGalqo	220259	300	20260123	1920	1080	42500	Pinch Of Warmth	NYC Style Chocolate Chip Cookies From 1 Dough ♡ Bake With Me
35	_5sYXU4QZEU	216768	417	20260223	1920	1080	1520000	One Bite Pizza Reviews	Barstool Pizza Review - Hi Hat (San Francisco, CA) Bonus Chocolate Chip Cookie Review
