shot	conversation	status
C33	8bd72894-dceb-4ec1-9f8d-2199c2eb98bb	downloaded
C34	1a095da6-8fdb-4017-8209-f0c83a26a694	generating
C35	7ffc9f19-86af-4dea-be7f-fcdd3c094234	generating
C36	c4627fa7-c7e5-421a-9194-b116542eea60	generating
C01	071964ab-8030-40fa-b146-5c1cdecab418	generating
C02	e2b3c348-38b3-41f3-9d30-7737d47122a9	generating
C03	aec32fe4-d120-497d-a3a2-6f0ea9e88ae7	generating
C04	a9ddf2ac-9225-4022-8b7b-6ede5ed90d4f	generating
C05	95f844b4-bf21-450d-a600-539811b6e15b	generating
C06	0fde8a1b-c42f-430c-9664-c2bdea25a9b8	generating
C07	9b568ef2-8bcb-40e9-9be0-4b8d4a5a6b72	generating
C08	27599310-7c0d-44cf-b30f-93858bdbe217	generating
C09	c09c111e-e317-4c21-a463-3545b61a5bbb	generating
C10	43b81653-cec4-4566-a7aa-4bde639107e0	generating
C11	3d67238a-6c70-4b5a-a958-690336f059a6	generating
C08	27599310-7c0d-44cf-b30f-93858bdbe217	NEEDS_DOWNLOAD post f8d91b98-8a01-4d81-a714-1e6f6aa74749
C12	2b827564-e6f3-48d5-9e7f-aa7c1e792079	generating
C13	0a612343-9357-499e-b210-02126045f063	generating
C14	11430473-f299-4526-b497-d6d2eebd3189	generating
C15	ce7c5758-7a58-4ca8-a715-ee678c2fd14f	generating
C16	313823f5-9a03-46af-9b3a-14c8b35c7e59	generating
C17	60b77b3e-5e9c-4dc0-bd0f-efc0721b5297	generating
C18	4b6e050f-618a-495b-8db7-0b70b8fecb40	generating
C19	350b065f-f454-4084-8ffa-d2d22f2000c7	generating
C20	b15338e8-62df-4db9-9cc0-46320b914e6b	generating
C21	862bcbca-45f1-4215-be6a-2fc9712c1941	generating
C22	2e5b2543-0321-4f87-a938-b89b944269ca	generating
C23	ad32690b-cf10-403c-9391-6d0605a4074d	generating
C24	845eed64-a559-4b9c-8804-66740e32df45	generating
C25	dc82fa09-c49c-4a1b-a02c-bf3a1fe09a8a	generating
C26	8fee01af-c351-4573-8199-91ea752aeaf3	generating
C27	16eec1c1-7019-4472-9fe1-1abb06ff6511	generating
C28	b6e747dc-08d1-4625-af0f-9b13f047c519	generating(10s)
C29	e41dbb5a-888a-4c1b-a331-c8e2461ab055	generating
C30	ee2dc7dd-f5bd-4a4c-bb54-a0b3e575f89e	generating
C31	21e463ed-709e-4257-81aa-604f979d5637	generating
C32	49ed7361-715d-4923-8984-c746ba2e034c	generating
